Acronym,Name,Region/Country Code,Lat,Long,Stations
AEC,PowerSouth Energy Cooperative,SE,31.3290748,-86.4697546,USC00012675
AECI,Associated Electric Cooperative Inc.,MIDW,37.1553316,-93.3424725,USW00093981
AVA,Avista Corporation,NW,47.2563132,-118.5542683,USC00456039
AVRN,Avangrid Renewables LLC,NW,45.3992661,-122.6084653,USC00356334
AZPS,Arizona Public Service Company,SW,33.4524979,-112.6280594,USC00024977
BANC,Balancing Authority of Northern California,CAL,38.5786178,-121.5651369,USW00023232
BPAT,Bonneville Power Administration,NW,47.181046,-123.6548547,USW00094225
CHPD,Public Utility District No. 1 of Chelan County,NW,47.6346898,-120.4381457,USC00456534
CISO,California Independent System Operator,CAL,38.6434751,-121.1498826,USW00023232
CPLE,Duke Energy Progress East,CAR,34.6889273,-93.5530683,USW00053921
CPLW,Duke Energy Progress West,CAR,34.064091,-93.5551338,USC00035079
DEAA,Arlington Valley LLC,SW,33.3412058,-112.8921,USC00024977
DOPD,PUD No. 1 of Douglas County,NW,47.4214964,-120.2983429,USC00459074
DUK,Duke energy carolinas,CAR,34.7702269,-82.5974147,USC00387687
EEI,Electric Energy Inc.,MIDW,37.220696,-88.8601172,USC00113580
EPE,El Paso Electric Company,SW,31.6749059,-106.3672271,USW00023044
ERCO,Electric Reliability Council of Texas Inc.,TEX,30.5727824,-97.4430585,USC00418862
FMPP,Florida Municipal Power Pool,FLA,28.4431949,-81.4345961,USW00012815
FPC,Duke Energy Florida Inc.,FLA,39.8737433,-162.5716565,USC00502587
FPL,Florida Power & Light Co.,FLA,39.8737433,-162.5716565,USC00502587
GCPD,Public Utility District No. 2 of Grant County Washington,NW,47.3204275,-119.5552187,USC00459012
GLHB,GridLiance,MIDW,41.6311403,-87.8393888,USC00115110
GRID,Gridforce Energy Management LLC,NW,44.0607674,-123.1925901,USW00024221
GRIF,Griffith Energy LLC,SW,34.3991021,-115.7485253,USC00044405
GRMA,Gila River Power LLC,SW,32.9752529,-112.6949756,USC00024977
GVL,Gainesville Regional Utilities,FLA,29.5404848,-82.4993454,USW00012816
GWA,NaturEner Power Watch LLC,NW,48.861992,-112.048286,USW00024137
HGMA,New Harquahala Generating Company LLC,SW,32.7890378,-112.0848869,USC00021306
